Hostname,Total
OUTBACK.AD.ADELAIDE.EDU.AU,0,0
IMPREZA.AD.ADELAIDE.EDU.AU,0,0
LL3B0540.AD.ADELAIDE.EDU.AU,0,0
SUBARU.AD.ADELAIDE.EDU.AU,0,0
PLAZA702PRDCIFS.AD.ADELAIDE.EDU.AU,0,0
PLAZA702PRDCAVA.AD.ADELAIDE.EDU.AU,0,0
SAH0022049.AD.ADELAIDE.EDU.AU,0,0
LL3CZ575.AD.ADELAIDE.EDU.AU,0,0
PULT702PRDCIFS.AD.ADELAIDE.EDU.AU,0,0
PSYCH266.AD.ADELAIDE.EDU.AU,0,0
DPBKXNAA.AD.ADELAIDE.EDU.AU,0,0
DPBRNLTE.AD.ADELAIDE.EDU.AU,0,0
SAH0042682.AD.ADELAIDE.EDU.AU,0,0
D001FD0D1F86D.AD.ADELAIDE.EDU.AU,0,0
LR8DXAT1.AD.ADELAIDE.EDU.AU,0,0
DAUB420045G.AD.ADELAIDE.EDU.AU,0,0
DPBNRAKH.AD.ADELAIDE.EDU.AU,0,0
SPARKPLUG.AD.ADELAIDE.EDU.AU,0,0
FRAXINUS.AD.ADELAIDE.EDU.AU,0,0
VPRO001.AD.ADELAIDE.EDU.AU,0,0
DAU420045T.AD.ADELAIDE.EDU.AU,0,0
DPBZAVYN.AD.ADELAIDE.EDU.AU,0,0
DAUB420045S.AD.ADELAIDE.EDU.AU,0,0
D21903102.AD.ADELAIDE.EDU.AU,0,0
LACTOSEFREE.AD.ADELAIDE.EDU.AU,0,0
L9C254764Q.AD.ADELAIDE.EDU.AU,0,0
CYLON.AD.ADELAIDE.EDU.AU,0,0
LR9VN337.AD.ADELAIDE.EDU.AU,0,0
LL3DDYD0.AD.ADELAIDE.EDU.AU,0,0
MATHCOREXXX.AD.ADELAIDE.EDU.AU,0,0
IGOR.AD.ADELAIDE.EDU.AU,0,0
D24000302.AD.ADELAIDE.EDU.AU,0,0
LLR92CRC.AD.ADELAIDE.EDU.AU,0,0
WSTESTWDEN.AD.ADELAIDE.EDU.AU,0,0
DL3A6718.AD.ADELAIDE.EDU.AU,0,0
RTMC-PC.AD.ADELAIDE.EDU.AU,0,0
NEOCALLITROPSIS.AD.ADELAIDE.EDU.AU,0,0
AAIISUAT1.AD.ADELAIDE.EDU.AU,0,0
DIVERSICOLOR.AD.ADELAIDE.EDU.AU,0,0
D30300072.AD.ADELAIDE.EDU.AU,0,0
CTR-3.AD.ADELAIDE.EDU.AU,0,0
RX10.AD.ADELAIDE.EDU.AU,0,0
DINO.AD.ADELAIDE.EDU.AU,0,0
REGNANS.AD.ADELAIDE.EDU.AU,0,0
CARMEL-PC.AD.ADELAIDE.EDU.AU,0,0
D00301BBC220D.AD.ADELAIDE.EDU.AU,0,0
P2K3APP6450003.AD.ADELAIDE.EDU.AU,0,0
RX11.AD.ADELAIDE.EDU.AU,0,0
LB870F4A8A87C.AD.ADELAIDE.EDU.AU,0,0
LR9X0L8N.AD.ADELAIDE.EDU.AU,0,0
USCG01W023.AD.ADELAIDE.EDU.AU,0,0
D1C6F6598AC2F.AD.ADELAIDE.EDU.AU,0,0
LR9W6BP0.AD.ADELAIDE.EDU.AU,0,0
L2CE5310FVM.AD.ADELAIDE.EDU.AU,0,0
D99BRP17.AD.ADELAIDE.EDU.AU,0,0
LEMON.AD.ADELAIDE.EDU.AU,0,0
DAUB420044J.AD.ADELAIDE.EDU.AU,0,0
DPB467NC.AD.ADELAIDE.EDU.AU,0,0
D6D3NR1S.AD.ADELAIDE.EDU.AU,0,0
LUMPY.AD.ADELAIDE.EDU.AU,0,0
CTXVDIW7-TMPL8.AD.ADELAIDE.EDU.AU,0,0
LICENSESERVER22.AD.ADELAIDE.EDU.AU,0,0
NETCRAFT1.AD.ADELAIDE.EDU.AU,0,0
P2K3MMVS01.AD.ADELAIDE.EDU.AU,0,0
CABRIOLET.AD.ADELAIDE.EDU.AU,0,0
CTXPPLAAV01.AD.ADELAIDE.EDU.AU,0,0
CHRSTINE-PC.AD.ADELAIDE.EDU.AU,0,0
P2K3APP015.AD.ADELAIDE.EDU.AU,0,0
DL3F5113-XPVM.AD.ADELAIDE.EDU.AU,0,0
D03402277.AD.ADELAIDE.EDU.AU,0,0
DL3B8619.AD.ADELAIDE.EDU.AU,0,0
DR8M66LD.AD.ADELAIDE.EDU.AU,0,0
LYNCIM03.AD.ADELAIDE.EDU.AU,0,0
LYNCSQL01.AD.ADELAIDE.EDU.AU,0,0
LYNCIM04.AD.ADELAIDE.EDU.AU,0,0
D00703931.AD.ADELAIDE.EDU.AU,0,0
DAUB4200445.AD.ADELAIDE.EDU.AU,0,0
TURBINE.AD.ADELAIDE.EDU.AU,0,0
LYNCAPP01.AD.ADELAIDE.EDU.AU,0,0
CTXPPLAFTP.AD.ADELAIDE.EDU.AU,0,0
D00703933.AD.ADELAIDE.EDU.AU,0,0
P2K3MMCN028.AD.ADELAIDE.EDU.AU,0,0
DPB9D1F4.AD.ADELAIDE.EDU.AU,0,0
LP10K3VM.AD.ADELAIDE.EDU.AU,0,0
ZANDVOORT.AD.ADELAIDE.EDU.AU,0,0
DDJQK42S.AD.ADELAIDE.EDU.AU,0,0
DVM6642853B.AD.ADELAIDE.EDU.AU,0,0
LR9AC1PF.AD.ADELAIDE.EDU.AU,0,0
DL3ABK7Z.AD.ADELAIDE.EDU.AU,0,0
HUBMOCW001.AD.ADELAIDE.EDU.AU,0,0
LL3F2513.AD.ADELAIDE.EDU.AU,0,0
DR82YHB9.AD.ADELAIDE.EDU.AU,0,0
